action,releaseId,title,version,artistId,artistAppearsAs,barcode,type,year,explicitContent,trackCount,duration,tags,licensorId,image,dateAdded,releaseDate,labelId,labelName,formats,price,rrp,url
U,36567,Under The Iron Sea,UK edition,1,Keane,00602498782279,Album,2012,false,12,3027,"2000s,pop,pop-rock,rock,indie-rock,soft-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/365/0000036567_<$size$>.jpg,2008-08-31T22:19:23.820Z,2006-06-12T00:00:00Z,30303,Universal Music Division Barclay,"17,",5.49,5.49,http://www.7digital.com/artist/keane/release/under-the-iron-sea-uk-edition
I,799025,Night Train,,1,Keane,00602527392622,Album,2012,false,8,1885,,1,http://artwork-cdn.7static.com/static/img/sleeveart/00/007/990/0000799025_<$size$>.jpg,2010-04-14T15:12:32.567Z,2010-05-10T00:00:00Z,30303,Universal Music Division Barclay,"17,",5.49,5.49,http://www.7digital.com/artist/keane/release/night-train
I,1685650,Strangeland,Deluxe Version,1,Keane,00602527947969,Album,2012,false,16,3645,,1,http://artwork-cdn.7static.com/static/img/sleeveart/00/016/856/0001685650_<$size$>.jpg,2012-04-27T11:15:24.130Z,2012-05-07T00:00:00Z,670,Interscope,"17,",8.99,8.99,http://www.7digital.com/artist/keane/release/strangeland-1
D,216585,A Bad Dream,International 2 track,1,Keane,00602517300576,Single,2007,false,2,579,"rock,2000s,alternative-indie,britpop,pop,pop-rock,electronic,hardcore",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/165/0000216585_<$size$>.jpg,2010-05-26T16:33:02.633Z,2007-03-26T00:00:00Z,99670,Universal Music Ltd.,"17,",1.29,1.29,http://www.7digital.com/artist/keane/release/a-bad-dream
