action,artistId,name,popularity,tags,image,url
U,8,The Loose Cannons,0.4,,http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000008_<$size$>.jpg,http://www.7digital.com/artists/the-loose-cannons/
U,19,Bob Marley,0.59,"1990s,2000s,caribbean,reggae,roots,world",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000019_<$size$>.jpg,http://www.7digital.com/artists/bob-marley/
I,23,Placebo,0.55,"1990s,2000s",http://artwork-cdn.7static.com/static/img/artistimages/00/000/000/0000000023_<$size$>.jpg,http://www.7digital.com/artists/placebo/
