trackId,title,version,type,isrc,explicitContent,trackNumber,discNumber,artistId,artistAppearsAs,releaseId,duration,formats,price,rrp,url,popularity,streamingReleaseDate,licensorID
2507065,Fuck Me Pumps,,Audio,GBAAN0300464,true,4,1,4,Amy Winehouse,229064,201,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=04,0.35,2008-05-06T00:00:00Z,1
2507067,I Heard Love Is Blind,,Audio,GBAAN0300410,false,5,1,4,Amy Winehouse,229064,130,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=05,0.33,2008-05-06T00:00:00Z,1
2507068,Moody's Mood For Love / Teo Licks,,Audio,GBAAN0300540,false,6,1,4,Amy Winehouse,229064,209,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=06,0.33,2008-05-06T00:00:00Z,1
2507070,(There Is) No Greater Love,,Audio,GBAAN0300495,false,7,1,4,Amy Winehouse,229064,129,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=07,0.29,2008-05-06T00:00:00Z,1
2507071,In My Bed,,Audio,GBAAN0300408,false,8,1,4,Amy Winehouse,229064,317,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=08,0.33,2008-05-06T00:00:00Z,1
2507075,Take The Box,,Audio,GBAAN0300409,true,9,1,4,Amy Winehouse,229064,200,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=09,0.34,2008-05-06T00:00:00Z,1
2507077,October Song,,Audio,GBAAN0300469,false,10,1,4,Amy Winehouse,229064,205,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=10,0.31,2008-05-06T00:00:00Z,1
2507078,What Is It About Men,,Audio,GBAAN0300411,false,11,1,4,Amy Winehouse,229064,210,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=11,0.29,2008-05-06T00:00:00Z,1
2507080,Help Yourself,,Audio,GBAAN0300474,false,12,1,4,Amy Winehouse,229064,301,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=12,0.31,2008-05-06T00:00:00Z,1
2507083,Amy Amy Amy / Outro,,Audio,GBAAN0300528,false,13,1,4,Amy Winehouse,229064,797,"17,1",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=13,0.29,2008-05-06T00:00:00Z,1
2507088,Take The Box,Demo,Audio,GBAAN0300019,false,1,2,4,Amy Winehouse,229064,203,"17,1",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=01,0.28,2008-05-06T00:00:00Z,1
2507090,You Sent Me Flying,Demo,Audio,GBAAN0300021,false,2,2,4,Amy Winehouse,229064,338,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=02,0.28,2008-05-06T00:00:00Z,1
2507091,I Heard Love Is Blind,Demo,Audio,GBAAN0300020,false,3,2,4,Amy Winehouse,229064,132,"17,1",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=03,0.32,2008-05-06T00:00:00Z,1
2507092,Someone To Watch Over Me,Demo,Audio,GBUM70803164,false,4,2,4,Amy Winehouse,229064,268,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=04,0.33,2008-05-06T00:00:00Z,1
2507093,What It Is,Demo,Audio,GBUM70803742,false,5,2,4,Amy Winehouse,229064,283,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=05,0.32,2008-05-06T00:00:00Z,1
2507094,Teach Me Tonight,"Live, Hootenanny, London/2004",Audio,GBUM70803176,false,6,2,4,Amy Winehouse,229064,202,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=06,0.34,2008-05-06T00:00:00Z,1
2507097,'Round Midnight,,Audio,GBAAN0300468,false,7,2,4,Amy Winehouse,229064,228,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=07,0.33,2008-05-06T00:00:00Z,1
2507099,Fool's Gold,B Side,Audio,GBAAN0300443,false,8,2,4,Amy Winehouse,229064,219,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=08,0.33,2008-05-06T00:00:00Z,1
2507101,Stronger Than Me,"Later with Jools Holland, London/2003",Audio,GBUM70803183,false,9,2,4,Amy Winehouse,229064,232,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=09,0.33,2008-05-06T00:00:00Z,1
2507102,I Heard Love Is Blind,Live At Concorde - Brighton/2008,Audio,GBUM70803178,false,10,2,4,Amy Winehouse,229064,147,"17,1",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=10,0.28,2008-05-06T00:00:00Z,1
2507103,Take The Box,Live At Concorde - Brighton/2008,Audio,GBUM70803180,false,11,2,4,Amy Winehouse,229064,212,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=11,0.28,2008-05-06T00:00:00Z,1
2507104,In My Bed,Live At Concorde - Brighton/2008,Audio,GBUM70803181,false,12,2,4,Amy Winehouse,229064,336,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=12,0.32,2008-05-06T00:00:00Z,1
2507107,Mr Magic (Through The Smoke),"Live, Janice Long Session, Miami/2008",Audio,GBUM70803182,false,13,2,4,Amy Winehouse,229064,244,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=13,0.35,2008-05-06T00:00:00Z,1
2507108,(There Is) No Greater Love,"Live, Janice Long Session, Miami/2008",Audio,GBUM70803184,false,14,2,4,Amy Winehouse,229064,157,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=14,0.29,2008-05-06T00:00:00Z,1
2507109,Fuck Me Pumps,MJ Cole Remix,Audio,GBAAN0400550,true,15,2,4,Amy Winehouse,229064,353,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=15,0.35,2008-05-06T00:00:00Z,1
2507110,Take The Box,Seijis Buggin' Mix,Audio,GBAAN0300706,false,16,2,4,Amy Winehouse,229064,467,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=16,0.34,2008-05-06T00:00:00Z,1
2507113,Stronger Than Me,Harmonic 33 Remix,Audio,GBAAN0300475,false,17,2,4,Amy Winehouse,229064,222,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=17,0.3,2008-05-06T00:00:00Z,1
2507115,In My Bed,CJ Mix,Audio,GBAAN0400100,false,18,2,4,Amy Winehouse,229064,275,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-2?h=18,0.33,2008-05-06T00:00:00Z,1
2761994,Love Is A Losing Game,,Audio,GBUM70603489,false,2,1,4,Amy Winehouse,262900,154,"17,1,26",0.99,0.99,http://www.7digital.com/artist/various-artists/release/relax-double?h=02,0.28,2008-03-31T00:00:00Z,1
2855114,Intro / Stronger Than Me,Album Version,Audio,GBAAN0300532,false,1,1,4,Amy Winehouse,265371,234,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=01,0.36,2008-06-16T00:00:00Z,1
2855116,You Sent Me Flying / Cherry,,Audio,GBAAN0300533,false,2,1,4,Amy Winehouse,265371,411,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=02,0.33,2008-06-16T00:00:00Z,1
2855118,Know You Now,,Audio,GBAAN0300470,false,3,1,4,Amy Winehouse,265371,183,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=03,0.34,2008-06-16T00:00:00Z,1
2855119,Fuck Me Pumps,,Audio,GBAAN0300464,true,4,1,4,Amy Winehouse,265371,201,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=04,0.33,2008-06-16T00:00:00Z,1
2855121,I Heard Love Is Blind,,Audio,GBAAN0300410,false,5,1,4,Amy Winehouse,265371,130,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=05,0.28,2008-06-16T00:00:00Z,1
2855122,Moody's Mood For Love / Teo Licks,,Audio,GBAAN0300540,false,6,1,4,Amy Winehouse,265371,209,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=06,0.33,2008-06-16T00:00:00Z,1
2855123,(There Is) No Greater Love,,Audio,GBAAN0300495,false,7,1,4,Amy Winehouse,265371,129,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=07,0.3,2008-06-16T00:00:00Z,1
2855125,In My Bed,,Audio,GBAAN0300408,false,8,1,4,Amy Winehouse,265371,317,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=08,0.33,2008-06-16T00:00:00Z,1
2855127,Take The Box,,Audio,GBAAN0300409,true,9,1,4,Amy Winehouse,265371,200,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=09,0.3,2008-06-16T00:00:00Z,1
2855129,October Song,,Audio,GBAAN0300469,false,10,1,4,Amy Winehouse,265371,205,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=10,0.28,2008-06-16T00:00:00Z,1
2855130,What Is It About Men,,Audio,GBAAN0300411,false,11,1,4,Amy Winehouse,265371,210,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=11,0.35,2008-06-16T00:00:00Z,1
2855131,Help Yourself,,Audio,GBAAN0300474,false,12,1,4,Amy Winehouse,265371,301,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=12,0.32,2008-06-16T00:00:00Z,1
2855134,Amy Amy Amy / Outro,,Audio,GBAAN0300528,false,13,1,4,Amy Winehouse,265371,797,"17,1",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=13,0.28,2008-06-16T00:00:00Z,1
2855136,Take The Box,Demo,Audio,GBAAN0300019,false,1,2,4,Amy Winehouse,265371,203,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=01,0.3,2008-06-16T00:00:00Z,1
2855137,You Sent Me Flying,Demo,Audio,GBAAN0300021,false,2,2,4,Amy Winehouse,265371,338,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=02,0.3,2008-06-16T00:00:00Z,1
2855138,I Heard Love Is Blind,Demo,Audio,GBAAN0300020,false,3,2,4,Amy Winehouse,265371,132,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=03,0.3,2008-06-16T00:00:00Z,1
2855139,Someone To Watch Over Me,Demo,Audio,GBUM70803164,false,4,2,4,Amy Winehouse,265371,268,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=04,0.33,2008-06-16T00:00:00Z,1
2855140,What It Is,Demo,Audio,GBUM70803742,false,5,2,4,Amy Winehouse,265371,283,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=05,0.27,2008-06-16T00:00:00Z,1
2855141,Teach Me Tonight,"Live, Hootenanny, London/2004",Audio,GBUM70803176,false,6,2,4,Amy Winehouse,265371,202,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=06,0.34,2008-06-16T00:00:00Z,1
2855143,'Round Midnight,,Audio,GBAAN0300468,false,7,2,4,Amy Winehouse,265371,228,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=07,0.3,2008-06-16T00:00:00Z,1
2855145,Fool's Gold,B Side,Audio,GBAAN0300443,false,8,2,4,Amy Winehouse,265371,219,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=08,0.3,2008-06-16T00:00:00Z,1
2855146,Stronger Than Me,"Later with Jools Holland, London/2003",Audio,GBUM70803183,false,9,2,4,Amy Winehouse,265371,232,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=09,0.34,2008-06-16T00:00:00Z,1
2855148,I Heard Love Is Blind,Live At Concorde - Brighton/2008,Audio,GBUM70803178,false,10,2,4,Amy Winehouse,265371,147,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=10,0.3,2008-06-16T00:00:00Z,1
2855149,Take The Box,Live At Concorde - Brighton/2008,Audio,GBUM70803180,false,11,2,4,Amy Winehouse,265371,212,"17,1,26",0.99,0.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5?h=11,0.3,2008-06-16T00:00:00Z,1
